,Tweet
299, السلام عليكم  ،،، يعطيكم الف عافية  ،،، مكفولي غادر المملكة قبل تطبيق توكلنا ولديه أبشر فقط والآن                         
300,"                مرحبا بك عزيزي، سعدنا بالرد عليك  عبر الرسائل الخاصة
نتشرف بخدمتكم"
301,            انا اخذت جرعتين بمصر وانا الحين بالمملكة وعايز انزل اجازة هل يمكن أن ارجع مباشر ام لا
302,                                                                                                                           
303,             لماذا لا استطيع فتح توكلنا في باكستان؟
304,"عندي اقتراح لكم بالخاص 
"
305, الرجاء الرد عالخاص وحل المشكلة في اسرع وقت ممكن للضرورة القصوى
306, التطبيق ماهو راضي يفتح معاي ويطلع لي اسئلة واجبت عليها لكن ما تروح صفحة الاسئلة وما اقدر استعرض ال                         
307," السلام عليكم
اتجزلي موعد للجرعة الثانيه اليوم وانا خارج المملكة وبحاول أعمل اعادة جدولة اكتر من مر                         "
308, حتى وان كانت الجرعتين بمصر
309,"                مرحبا بك عزيزي، سعدنا بالرد عليك  عبر الرسائل الخاصة
نتشرف بخدمتكم"
310,                                        جربي اللي قلت لك عليه 😉
311,                                     لقيت هالتغريدة توضح من اللي لازم يعمل المسحة                        
312,                                                               شكرا حبيبتي
313,         من وين اشيلها ؟
314, معلم واخذت جرعتين بمصر استرازنيكا والحالة بتوكلنا محصن اكمل جرعات اللقاح هل يلزمني حجر مؤسسي ام لا                         
315, راسلتكم على الخاص
316,                                                                                                                            
317," السلام عليكم 
انا الان في الإمارات تشيره جديده 
واخد جرعتين استارزنكا 
باقي اسبوع واسافر السعوديه شو المطلوب مني"
318, تم كتابة الاستفسار ارجو الرد
319," السلام عليكم ورحمة الله وبركاته 
تحية طيبة وبعد  
هل سوف يمكنني الاستفادة من القرار الذي سوف يطبق                         "
320," 
السلام عليكم ورحمة الله وبركاته 
طفل صغير عمره سنتين كل مدة الحجر المنزلي
أرجو الإفادة شكرا"
321, السلام عليكم ورحمة الله انا مقيم محصن جونسون اند جونسون هل لي جرعه ام لا
322,                                                                                              ?
323, كيف اعرف تم قبول الطلب من عدمه
324, عملت طلب لاعتماد لقاح كورونا من اكثر من خمس ايام ولم يتم تغير الحاله في تطبيق توكلنا
325,"                                          

            
مدري لمين باقي ارسل؟؟؟ لنزاهه؟ لوزارة العد                         "
326," لم يتحدث التطبيق ولم استفيد شي من البلاغ لأن حاله التطبيق لم تتحدث

لمده عشره ايام    لماذا"
327,"                مرحبا بك عزيزي، سعدنا بالرد عليك  عبر الرسائل الخاصة
نتشرف بخدمتكم"
328,                                                '                                                                           
329, ممكن تردون عالخاص
330, الرجاء الرد عالخاص
331,         الرجاء الرد عالخاص
332,                                                                      اسوم روحي اتعالجي وبعدها خذي اللقاح
333,             ممكن تساعدوني
334,             السلام عليكم ورحمة الله وبركاته  انا عايز اعمل حساب في توكلنا بس ما ظبط معي
